,Zip Code,Property Type,Avg. Sq Ft,Avg. Market Value,Avg. Year Built
724,78732,SFR,4409,621024,2012
725,78732,SFR,5790,778473,2013
726,78732,SFR,3134,485937,2009
727,78732,SFR,3640,532324,2009
728,78732,SFR,4217,585705,2012
729,78732,SFR,3832,538974,2010
730,78732,SFR,4027,718291,2009
731,78732,SFR,3994,594934,2012
732,78732,SFR,3993,548100,2010
733,78732,SFR,4183,552906,2012
734,78732,SFR,3511,498681,2009
735,78732,SFR,5225,746700,2009
736,78732,SFR,4533,632000,2012
737,78732,SFR,4041,543778,2012
738,78732,SFR,3816,524800,2010
739,78732,SFR,3994,602806,2012
740,78732,SFR,4920,733761,2011
741,78732,SFR,4746,918500,2011
742,78732,SFR,5201,718600,2009
743,78732,SFR,4693,722877,2013
744,78732,SFR,4499,617800,2012
745,78732,SFR,6008,1165000,2013
746,78732,SFR,4278,581100,2011
747,78732,SFR,3922,589802,2012
748,78732,SFR,4081,523100,2009
749,78732,RESIDENTIAL ACREAGE,0,2080,0
750,78732,SFR,5382,802873,2008
751,78732,SFR,3845,519199,2009
752,78732,SFR,5054,755764,2012
753,78732,SFR,3845,516901,2009
754,78732,SFR,5143,749740,2009
755,78732,SFR,4066,560728,2013
756,78732,SFR,5390,797583,2010
757,78732,SFR,4033,515300,2009
758,78732,SFR,2920,456800,2010
759,78732,SFR,4078,541400,2009
760,78732,SFR,3640,503937,2009
761,78732,SFR,2920,448000,2010
762,78732,SFR,7167,1348000,2009
763,78732,SFR,4461,740295,2011
764,78732,SFR,3811,513700,2009
765,78732,SFR,3993,539500,2010
766,78732,SFR,3845,540121,2009
767,78732,SFR,5184,753021,2010
768,78732,SFR,5278,828766,2010
769,78732,SFR,3832,530474,2010
770,78732,SFR,4401,576112,2009
771,78732,SFR,4215,549243,2012
772,78732,SFR,5676,799500,2012
773,78732,SFR,2475,431747,2009
774,78732,SFR,3508,475000,2009
775,78732,SFR,4885,742145,2012
776,78732,SFR,4986,664990,2012
777,78732,SFR,4472,600000,2011
778,78732,SFR,3606,596983,2012
779,78732,SFR,3606,528533,2009
780,78732,SFR,4446,597300,2012
781,78732,SFR,2589,398100,2009
782,78732,SFR,4003,514481,2009
783,78732,SFR,5102,796697,2012
784,78732,SFR,3841,527000,2013
785,78732,SFR,3171,450000,2008
786,78732,SFR,3138,461000,2010
787,78732,SFR,3804,501245,2008
788,78732,SFR,4937,747093,2010
789,78732,SFR,3794,577000,2009
790,78732,SFR,3448,482600,2008
791,78732,RESIDENTIAL ACREAGE,0,978,0
792,78732,SFR,2444,403776,2010
793,78732,SFR,4901,739201,2012
794,78732,SFR,4173,560474,2010
795,78732,SFR,3859,530000,2009
796,78732,SFR,3427,495800,2009
797,78732,SFR,4253,542600,2010
798,78732,SFR,3205,498200,2009
799,78732,SFR,3527,508200,2011
800,78732,SFR,2589,390953,2009
801,78732,SFR,3993,557461,2011
802,78732,SFR,3861,534232,2008
803,78732,SFR,3647,576500,2009
804,78732,SFR,4925,702365,2009
805,78732,SFR,2475,366600,2009
806,78732,SFR,2390,370600,2009
807,78732,SFR,2475,378203,2009
808,78732,SFR,3122,426615,2009
809,78732,SFR,2475,391546,2009
810,78732,SFR,2475,373400,2009
811,78732,SFR,3415,446920,2010
812,78732,SFR,5277,767481,2009
813,78732,SFR,3108,467471,2008
814,78732,SFR,3430,496510,2009
815,78732,SFR,5647,812900,2009
816,78732,SFR,2580,419949,2010
817,78732,SFR,4131,569800,2009
818,78732,SFR,3553,501155,2009
819,78732,SFR,5112,737737,2008
820,78732,SFR,2661,393240,2009
821,78732,SFR,2904,460401,2009
822,78732,SFR,3037,490456,2009
823,78732,SFR,5136,801460,2010
824,78732,SFR,2589,391000,2009
825,78732,SFR,2403,367000,2009
826,78732,SFR,4326,571682,2011
827,78732,SFR,3535,562135,2012
828,78732,SFR,3978,561700,2011
829,78732,SFR,3359,487600,2008
830,78732,SFR,5071,730224,2008
831,78732,SFR,3799,508000,2008
832,78732,SFR,2475,398897,2009
833,78732,SFR,3810,497000,2010
834,78732,SFR,8826,1721000,2012
835,78732,SFR,3993,546300,2010
836,78732,SFR,4172,671611,2009
837,78732,SFR,3080,472467,2009
838,78732,SFR,7087,1400800,2014
839,78732,SFR,3120,475926,2008
840,78732,SFR,3436,514530,2010
841,78732,SFR,3845,512796,2009
842,78732,SFR,3436,522733,2010
843,78732,SFR,3845,517282,2009
844,78732,SFR,3984,550070,2008
845,78732,SFR,3991,528888,2009
846,78732,SFR,3347,502524,2009
847,78732,SFR,3928,535171,2010
848,78732,SFR,3845,524698,2008
849,78732,SFR,5328,768122,2008
850,78732,SFR,2475,385800,2009
851,78732,SFR,3861,521633,2008
852,78732,SFR,2444,397119,2010
853,78732,SFR,3430,492489,2010
854,78732,SFR,4522,569530,2009
855,78732,SFR,2475,407774,2009
856,78732,SFR,2777,414425,2009
857,78732,SFR,7815,1649148,2012
858,78732,SFR,2575,425151,2009
859,78732,SFR,4183,558636,2012
860,78732,SFR,4145,553581,2013
861,78732,SFR,3816,533960,2008
862,78732,SFR,3789,569200,2012
863,78732,SFR,4112,561756,2012
864,78732,SFR,4279,572382,2012
865,78732,SFR,5307,817096,2008
866,78732,SFR,4077,568545,2012
867,78732,SFR,4300,581100,2012
868,78732,SFR,4132,597600,2012
869,78732,SFR,4799,647994,2013
870,78732,SFR,4422,588600,2012
871,78732,SFR,3953,573228,2013
872,78732,SFR,2390,373300,2009
873,78732,SFR,2475,389800,2009
874,78732,SFR,4358,593000,2012
875,78732,SFR,4646,615214,2012
876,78732,SFR,3606,553200,2012
877,78732,SFR,4254,617200,2012
878,78732,SFR,4536,640612,2012
879,78732,SFR,3491,578784,2012
880,78732,SFR,4986,656000,2012
881,78732,SFR,4636,654463,2012
882,78732,SFR,4602,619708,2012
883,78732,SFR,4436,642446,2012
884,78732,SFR,3606,590734,2012
885,78732,SFR,4007,582600,2012
886,78732,SFR,4083,601583,2012
887,78732,SFR,3775,590000,2012
888,78732,SFR,4212,595601,2013
889,78732,SFR,4734,665000,2013
890,78732,SFR,4536,649700,2012
891,78732,SFR,9267,2300000,2008
892,78732,SFR,4447,663500,2013
893,78732,SFR,3994,597347,2012
894,78732,SFR,4243,615800,2013
895,78732,SFR,4091,575400,2012
896,78732,SFR,4707,679376,2013
897,78732,SFR,6372,1168200,2009
898,78732,SFR,6166,931500,2013
899,78732,SFR,3849,565980,2009
900,78732,SFR,3832,530100,2010
901,78732,SFR,4535,633534,2013
902,78732,SFR,3756,535169,2010
903,78732,SFR,4602,677900,2012
904,78732,SFR,4381,876048,2013
905,78732,SFR,10134,1713418,2016
906,78732,SFR,4070,579017,2009
907,78732,SFR,4421,608461,2009
908,78732,SFR,4873,792700,2013
909,78732,SFR,6944,1535000,2014
910,78732,SFR,4131,587591,2009
911,78732,CONDOMINIUM,3820,467007,2013
912,78732,CONDOMINIUM,3820,490909,2013
913,78732,SFR,7784,1673700,2014
914,78732,SFR,4253,661200,2008
915,78732,SFR,7595,1731330,2014
916,78732,SFR,7468,1442359,2015
917,78732,SFR,5444,1025412,2010
918,78732,SFR,8293,1723200,2016
919,78732,SFR,3790,657400,2012
920,78732,SFR,5173,795000,2012
921,78732,SFR,4727,700000,2012
922,78732,SFR,4966,806988,2012
923,78732,SFR,5089,950791,2012
924,78732,SFR,7529,1679400,2013
925,78732,SFR,3845,548459,2009
926,78732,SFR,3963,568540,2009
927,78732,SFR,4134,535800,2008
928,78732,SFR,3500,536156,2009
929,78732,SFR,4046,566001,2009
930,78732,SFR,4215,551409,2010
931,78732,SFR,3861,537562,2009
932,78732,SFR,4132,527800,2008
933,78732,SFR,3651,565863,2010
934,78732,SFR,5380,825600,2013
935,78732,SFR,5065,778031,2013
936,78732,RESIDENTIAL ACREAGE,0,1600,0
937,78732,SFR,4449,587378,2009
938,78732,SFR,4873,734952,2013
939,78732,CONDOMINIUM,2955,437627,2013
940,78732,CONDOMINIUM,3820,490909,2013
941,78732,CONDOMINIUM,2955,437627,2013
942,78732,CONDOMINIUM,3820,490909,2013
943,78732,CONDOMINIUM,3820,467007,2013
944,78732,CONDOMINIUM,2955,437627,2013
945,78732,CONDOMINIUM,3820,490909,2013
946,78732,SFR,3861,562231,2009
947,78732,SFR,4899,676700,2013
948,78732,SFR,4677,655000,2013
949,78732,SFR,4981,704600,2013
950,78732,SFR,4899,720281,2013
951,78732,SFR,4677,679300,2013
952,78732,SFR,3430,482687,2010
953,78732,SFR,4873,664000,2012
954,78732,SFR,5197,683700,2013
955,78732,SFR,4530,708058,2014
956,78732,RESIDENTIAL ACREAGE,0,1300,0
957,78732,SFR,7431,1766100,2013
958,78732,SFR,3773,679799,2014
959,78732,SFR,2491,398874,2009
960,78732,SFR,5031,735240,2012
961,78732,SFR,4198,572420,2009
962,78732,SFR,4204,576500,2010
963,78732,SFR,4855,598279,2009
964,78732,SFR,4784,613600,2010
965,78732,RESIDENTIAL ACREAGE,0,273000,0
966,78732,SFR,4086,565400,2010
967,78732,SFR,4625,879500,2015
968,78732,SFR,7280,1492208,2009
969,78732,SFR,2475,378800,2009
970,78732,SFR,4994,990000,2014
971,78732,SFR,2390,383167,2009
972,78732,SFR,2430,359884,2010
973,78732,SFR,2437,394443,2009
974,78732,SFR,2589,373297,2010
975,78732,SFR,2475,401128,2010
976,78732,SFR,2390,360465,2009
977,78732,SFR,5277,1124215,2014
978,78732,SFR,5097,836772,2010
979,78732,SFR,6410,1136845,2011
980,78732,SFR,2475,377816,2008
981,78732,SFR,5903,1072883,2012
982,78732,SFR,6820,1457252,2012
983,78732,SFR,2551,359700,2009
984,78732,SFR,3336,468844,2010
985,78732,SFR,2440,347138,2009
986,78732,SFR,2390,363882,2009
987,78732,SFR,2604,391000,2009
988,78732,SFR,2475,394533,2008
989,78732,SFR,2475,376400,2009
990,78732,SFR,6086,1109100,2013
991,78732,SFR,7170,1349800,2011
992,78732,SFR,2422,380635,2009
993,78732,SFR,4994,936900,2013
994,78732,SFR,7846,1564600,2014
995,78732,SFR,5586,883438,2012
996,78732,SFR,3848,662442,2012
997,78732,SFR,4984,754300,2012
998,78732,SFR,4737,700000,2012
999,78732,SFR,5326,780000,2012
