,Zip Code,Property Type,Avg. Sq Ft,Avg. Market Value,Avg. Year Built
158,78732,SFR,1838,251639,1980
159,78732,SFR,876,157382,1967
160,78732,DUPLEX,2904,335254,1975
161,78732,SFR,2785,486927,2015
162,78732,SFR,3082,498517,2009
163,78732,SFR,2261,387765,2001
164,78732,SFR,3640,563422,2008
165,78732,SFR,2199,264511,1999
166,78732,SFR,1451,185082,1975
167,78732,SFR,794,117044,2016
168,78732,SFR,3022,543552,2000
169,78732,RESIDENTIAL ACREAGE,0,95000,1983
170,78732,SFR,1484,257795,2004
171,78732,SFR,3023,684939,2015
172,78732,SFR,1468,203772,1982
173,78732,SFR,1204,252834,2012
174,78732,RESIDENTIAL ACREAGE,0,95000,1982
175,78732,MOBILE HOME,1064,139879,1982
176,78732,SFR,1244,236500,2002
177,78732,SFR,1643,270751,2010
178,78732,SFR,930,172050,1981
179,78732,MOBILE HOME,784,97889,1984
180,78732,SFR,4316,657776,2015
181,78732,SFR,3007,374798,2002
182,78732,SFR,2627,330950,1997
183,78732,SFR,1855,266766,2002
184,78732,RESIDENTIAL ACREAGE,0,95000,1998
185,78732,SFR,2663,390030,2004
186,78732,SFR,600,144268,1958
187,78732,SFR,2267,358000,2000
188,78732,SFR,1638,267440,2001
189,78732,RESIDENTIAL ACREAGE,0,95000,1983
190,78732,SFR,4745,385100,1960
191,78732,MOBILE HOME,980,95000,1965
192,78732,SFR,1188,202630,1988
193,78732,MOBILE HOME,1976,179399,1986
194,78732,SFR,2108,352143,1999
195,78732,SFR,3332,166005,2018
196,78732,SFR,0,95000,1986
197,78732,SFR,1534,95000,2010
198,78732,SFR,3823,583917,2008
199,78732,SFR,2846,417281,2003
200,78732,SFR,2204,376100,2015
201,78732,SFR,3625,611900,2014
202,78732,SFR,3492,563048,2004
203,78732,SFR,876,95000,1967
204,78732,SFR,4191,767633,2015
205,78732,SFR,3101,530298,2013
206,78732,RESIDENTIAL ACREAGE,0,95000,1967
207,78732,RESIDENTIAL ACREAGE,0,95000,1967
208,78732,RESIDENTIAL ACREAGE,0,95000,1967
209,78732,SFR,7271,1091800,2015
210,78732,SFR,2515,406200,2001
211,78732,SFR,1524,210574,1983
212,78732,SFR,240,125592,1972
213,78732,SFR,0,95000,1981
214,78732,SFR,2203,476870,1984
215,78732,SFR,1800,286109,1984
216,78732,SFR,1672,295672,1983
217,78732,SFR,1534,288361,2010
218,78732,SFR,0,47500,1983
219,78732,SFR,1321,328618,1958
220,78732,RESIDENTIAL ACREAGE,0,95000,1994
221,78732,SFR,2166,199089,1981
222,78732,SFR,5838,884732,2012
223,78732,RESIDENTIAL ACREAGE,0,95000,1984
224,78732,SFR,0,95000,1984
225,78732,SFR,3113,508000,2017
226,78732,SFR,10816,3100000,2012
227,78732,SFR,1274,183836,1962
228,78732,MOBILE HOME,1056,100753,1986
229,78732,SFR,0,106746,2007
230,78732,SFR,2464,345874,1992
231,78732,SFR,1200,185488,1982
232,78732,SFR,0,107920,2007
233,78732,SFR,3735,263555,2018
234,78732,SFR,1407,215222,1952
235,78732,MOBILE HOME,952,138125,1988
236,78732,SFR,0,154384,1972
237,78732,SFR,9933,2900000,2014
238,78732,SFR,1467,213119,1983
239,78732,SFR,4524,737617,2015
240,78732,SFR,6567,2237455,2004
241,78732,SFR,4129,607634,2004
242,78732,SFR,2402,334731,2003
243,78732,SFR,0,95000,1984
244,78732,SFR,2501,315683,1984
245,78732,SFR,4348,1107400,2006
246,78732,SFR,5513,2241376,2012
247,78732,SFR,2470,722100,1979
248,78732,SFR,0,396200,1983
249,78732,SFR,4639,983400,1963
250,78732,SFR,5393,1399400,2009
251,78732,RESIDENTIAL ACREAGE,0,495000,2008
252,78732,SFR,3238,505842,2004
253,78732,SFR,1204,764516,1993
254,78732,SFR,8123,2070003,1997
255,78732,SFR,4149,656888,2007
256,78732,SFR,3086,413100,2000
257,78732,SFR,10333,3481021,2006
258,78732,MOBILE HOME,672,96005,1970
259,78732,SFR,960,156206,1960
260,78732,SFR,2757,452762,2007
261,78732,SFR,2370,248727,1971
262,78732,SFR,1452,219204,1960
263,78732,RESIDENTIAL ACREAGE,0,95000,1985
264,78732,SFR,1704,212475,1960
265,78732,SFR,2800,481273,2015
266,78732,SFR,780,170306,1979
267,78732,SFR,3313,560818,2012
268,78732,SFR,842,151747,1962
269,78732,SFR,0,95000,1962
270,78732,SFR,2480,283165,1975
271,78732,SFR,1344,199746,1986
272,78732,SFR,2853,433743,2012
273,78732,RESIDENTIAL ACREAGE,0,95000,1986
274,78732,SFR,564,129845,1965
275,78732,SFR,2333,266200,1974
276,78732,MOBILE HOME,1248,109383,1984
277,78732,SFR,2112,197581,1980
278,78732,SFR,8436,1849595,2007
279,78732,SFR,0,95000,1997
280,78732,SFR,2404,270723,1985
281,78732,SFR,4192,363302,2015
282,78732,SFR,138,1432300,2011
283,78732,SFR,4793,727236,2005
284,78732,MOBILE HOME,908,104500,1990
285,78732,SFR,5226,752148,2008
286,78732,SFR,2397,247633,1983
287,78732,SFR,1470,202176,1972
288,78732,SFR,3164,578667,2014
289,78732,SFR,4210,526582,2016
290,78732,SFR,3278,568692,2014
291,78732,SFR,3460,591660,2016
292,78732,SFR,6434,927052,2015
293,78732,SFR,2088,263946,1952
294,78732,SFR,935,128751,1960
295,78732,SFR,5671,762737,1997
296,78732,RESIDENTIAL ACREAGE,0,95000,1985
297,78732,SFR,3197,470053,2003
298,78732,SFR,1926,274145,1986
299,78732,SFR,2999,547500,2002
300,78732,SFR,2305,380196,1984
301,78732,SFR,4061,437479,1985
302,78732,RESIDENTIAL ACREAGE,0,95000,1985
303,78732,SFR,2652,480040,2004
304,78732,SFR,2547,279510,1979
305,78732,SFR,1092,189586,1972
306,78732,FARMS,0,1791000,0
307,78732,SFR,0,123500,0
308,78732,RESIDENTIAL ACREAGE,0,1858080,0
309,78732,SFR,1094,348100,1972
310,78732,SFR,0,145344,2015
311,78732,SFR,2248,368962,1958
312,78732,SFR,1408,212310,1970
313,78732,SFR,2067,253580,1984
314,78732,SFR,1020,219831,1975
315,78732,SFR,0,188276,2001
316,78732,SFR,3005,414993,1982
317,78732,SFR,2880,254883,1985
318,78732,SFR,1200,224294,1975
319,78732,SFR,2182,197720,1960
320,78732,SFR,3024,342211,2002
321,78732,SFR,0,116532,1980
322,78732,SFR,1378,171535,1970
323,78732,SFR,1510,166289,1981
324,78732,SFR,1968,237767,1972
325,78732,SFR,1056,150460,1958
326,78732,SFR,900,144169,1962
327,78732,SFR,2774,181056,1973
328,78732,SFR,948,166050,1952
329,78732,SFR,9341,3401081,2013
330,78732,SFR,4946,459044,2018
331,78732,RESIDENTIAL ACREAGE,0,68000,0
332,78732,SFR,7999,2991744,2008
333,78732,RESIDENTIAL ACREAGE,0,68000,0
334,78732,SFR,5184,872400,2007
335,78732,RESIDENTIAL ACREAGE,0,68000,0
336,78732,SFR,4191,249479,2018
337,78732,FARMS,0,450000,0
338,78732,SFR,9443,2979343,2011
339,78732,SFR,8680,2947082,2015
340,78732,SFR,5971,286995,2018
341,78732,RESIDENTIAL ACREAGE,0,360000,0
342,78732,RESIDENTIAL ACREAGE,0,68000,0
343,78732,SFR,7895,1700371,2006
344,78732,RESIDENTIAL ACREAGE,0,68000,0
345,78732,SFR,4858,402676,2018
346,78732,RESIDENTIAL ACREAGE,4191,244514,2018
347,78732,RESIDENTIAL ACREAGE,4172,87134,2018
348,78732,RESIDENTIAL ACREAGE,0,480000,0
349,78732,SFR,4858,729737,2018
350,78732,SFR,5291,868900,2006
351,78732,RESIDENTIAL ACREAGE,0,2250,0
352,78732,RESIDENTIAL ACREAGE,0,39000,0
353,78732,RESIDENTIAL ACREAGE,4948,93832,2018
354,78732,RESIDENTIAL ACREAGE,0,448500,0
355,78732,RESIDENTIAL ACREAGE,0,68000,0
356,78732,SFR,0,414000,2001
357,78732,SFR,12236,2055500,2004
358,78732,SFR,7880,3192839,2015
359,78732,RESIDENTIAL ACREAGE,0,68000,0
360,78732,SFR,8218,3211645,2005
361,78732,SFR,7344,1350000,2003
362,78732,RESIDENTIAL ACREAGE,4436,139660,2018
363,78732,SFR,7987,3146668,2004
364,78732,SFR,9012,3162951,2003
365,78732,SFR,6114,1215700,2006
366,78732,SFR,2740,1072259,2010
367,78732,SFR,9464,5593844,1998
368,78732,RESIDENTIAL ACREAGE,0,9000,0
369,78732,AGRICULTURAL (NEC),0,323400,0
370,78732,SFR,8269,4265457,2009
371,78732,SFR,5241,1413200,2007
372,78732,AGRICULTURAL (NEC),3035696,1742250,0
373,78732,AGRICULTURAL (NEC),0,2652000,0
374,78732,AGRICULTURAL (NEC),0,720000,0
375,78732,SFR,0,721868,1990
376,78732,SFR,6801,3056820,2013
377,78732,SFR,21908,7270700,1999
378,78732,SFR,2480,342856,2003
379,78732,MOBILE HOME,1656,254180,1984
380,78732,SFR,2316,309332,1983
381,78732,SFR,1576,291400,1970
382,78732,SFR,2100,573484,1985
383,78732,SFR,9165,1500000,2005
384,78732,SFR,6885,1225000,2010
385,78732,SFR,7245,2011929,2010
386,78732,MOBILE HOME,840,473269,1970
387,78732,RESIDENTIAL ACREAGE,0,2640300,0
388,78732,SFR,6446,1309200,2006
389,78732,SFR,4809,1039000,2006
390,78732,FARMS,2876,6091654,2018
391,78732,RESIDENTIAL ACREAGE,0,143360,0
392,78732,SFR,10694,2220939,2014
393,78732,SFR,8500,1674320,2004
394,78732,SFR,6069,868100,2012
395,78732,SFR,5418,771573,2011
396,78732,SFR,4393,742900,2011
397,78732,SFR,5383,817334,2011
398,78732,SFR,5612,838424,2011
399,78732,SFR,6180,1117700,2012
400,78732,SFR,6734,1706600,2008
401,78732,SFR,6053,1100835,2012
402,78732,SFR,4924,751205,2012
403,78732,SFR,6242,927960,2012
404,78732,SFR,5258,777666,2012
405,78732,SFR,6148,1257100,2013
406,78732,SFR,6105,1514509,2012
407,78732,SFR,4474,689899,2008
408,78732,SFR,5374,799900,2008
409,78732,SFR,4984,728400,2009
410,78732,SFR,5078,749115,2009
411,78732,SFR,6293,1405691,2012
412,78732,SFR,5455,1180000,2008
413,78732,SFR,4971,798450,2008
414,78732,SFR,6114,865906,2011
415,78732,SFR,4960,763508,2008
416,78732,SFR,4905,776979,2008
417,78732,SFR,5297,744800,2008
418,78732,SFR,4710,740800,2008
419,78732,FARMS,0,850,0
420,78732,SFR,3773,582400,2008
421,78732,SFR,4873,768396,2008
422,78732,SFR,4823,785448,2008
423,78732,SFR,5887,851737,2011
424,78732,SFR,5621,825800,2011
425,78732,SFR,5190,778423,2011
426,78732,SFR,6127,1244198,2008
427,78732,SFR,5062,763225,2009
428,78732,SFR,4961,769500,2009
429,78732,SFR,8278,1448806,2012
430,78732,SFR,5044,743900,2008
431,78732,SFR,4880,731579,2011
432,78732,SFR,4971,730000,2011
433,78732,SFR,4931,751074,2008
434,78732,SFR,4117,698391,2009
435,78732,SFR,6275,1346966,2013
436,78732,SFR,4584,726347,2011
437,78732,SFR,4105,940700,2013
438,78732,SFR,5029,770914,2011
439,78732,SFR,4952,714008,2012
440,78732,SFR,4779,743700,2009
441,78732,SFR,4737,746400,2009
442,78732,SFR,5443,731510,2011
443,78732,SFR,5190,771683,2011
444,78732,SFR,7523,1343828,2015
445,78732,SFR,5781,839700,2011
446,78732,SFR,6961,1177297,2014
447,78732,SFR,4228,704636,2009
448,78732,SFR,4085,685718,2011
449,78732,SFR,5477,700000,2008
450,78732,SFR,5281,770282,2011
451,78732,SFR,5136,784000,2012
452,78732,SFR,5101,806664,2010
453,78732,SFR,4690,761806,2012
454,78732,SFR,5967,1100000,2014
455,78732,SFR,5063,763300,2010
456,78732,SFR,5244,778242,2011
457,78732,SFR,5022,792956,2008
458,78732,FARMS,0,850,0
459,78732,SFR,4767,680231,2011
460,78732,SFR,4873,737183,2011
461,78732,SFR,3903,638162,2011
462,78732,SFR,4901,747600,2011
463,78732,SFR,5077,786300,2011
464,78732,SFR,5295,775877,2010
465,78732,SFR,4857,803809,2010
466,78732,SFR,5040,805200,2009
467,78732,SFR,4905,935368,2009
468,78732,SFR,4864,747112,2010
469,78732,SFR,5161,796355,2008
470,78732,SFR,6682,1380700,2012
471,78732,SFR,5063,770000,2008
472,78732,SFR,4905,806780,2011
473,78732,SFR,6209,1069700,2014
474,78732,SFR,5253,799000,2008
475,78732,SFR,4901,779885,2011
476,78732,SFR,4347,659561,2009
477,78732,SFR,4890,778000,2011
478,78732,RESIDENTIAL ACREAGE,0,850,0
479,78732,SFR,5260,819770,2011
480,78732,SFR,4222,716521,2011
481,78732,SFR,4767,721194,2011
482,78732,SFR,4905,729650,2011
483,78732,SFR,4981,721965,2010
484,78732,SFR,5210,691400,2010
485,78732,SFR,4951,807000,2011
486,78732,SFR,5300,762218,2011
487,78732,SFR,4444,755970,2011
488,78732,SFR,4920,735803,2012
489,78732,SFR,4826,755700,2011
490,78732,SFR,5189,695000,2010
491,78732,SFR,4759,701002,2009
492,78732,SFR,5160,741354,2010
493,78732,SFR,5609,1045800,2010
494,78732,SFR,4899,752195,2011
495,78732,SFR,5237,732100,2010
496,78732,SFR,4887,748848,2011
497,78732,SFR,4156,631500,2010
498,78732,SFR,5094,780037,2009
499,78732,SFR,4054,565900,2010
500,78732,SFR,3711,577027,2010
501,78732,SFR,4183,665675,2011
502,78732,SFR,5005,761600,2011
503,78732,SFR,5266,708454,2010
504,78732,SFR,4931,791000,2012
505,78732,SFR,3822,641130,2011
506,78732,SFR,4086,583400,2010
507,78732,SFR,4905,772000,2012
508,78732,SFR,4426,646420,2010
509,78732,SFR,5442,940000,2011
510,78732,SFR,5331,790534,2011
511,78732,SFR,4950,744184,2011
512,78732,SFR,4217,611700,2012
513,78732,SFR,4817,736700,2012
514,78732,SFR,4642,761416,2008
515,78732,SFR,4291,675100,2011
516,78732,SFR,4905,762200,2012
517,78732,SFR,4677,752200,2012
518,78732,SFR,4862,765400,2010
519,78732,SFR,3500,553407,2011
520,78732,SFR,4171,578634,2010
521,78732,SFR,4203,592889,2011
522,78732,SFR,4548,629700,2010
523,78732,SFR,4301,650600,2011
524,78732,SFR,3716,595100,2010
525,78732,SFR,5903,796400,2011
526,78732,SFR,3861,563610,2011
527,78732,SFR,3640,520000,2010
528,78732,SFR,4851,752364,2011
529,78732,SFR,5237,746038,2010
530,78732,SFR,3777,548800,2011
531,78732,SFR,4308,581673,2011
532,78732,SFR,4054,551431,2010
533,78732,SFR,5374,809500,2008
534,78732,SFR,3474,539069,2011
535,78732,SFR,4873,774638,2008
536,78732,SFR,5970,750000,2011
537,78732,SFR,5206,775971,2008
